Wilayah,RLS_2022
ACEH,9.44
SUMATERA UTARA,9.71
SUMATERA BARAT,9.18
RIAU,9.22
JAMBI,8.68
SUMATERA SELATAN,8.37
BENGKULU,8.91
LAMPUNG,8.18
KEPULAUAN BANGKA BELITUNG,8.11
KEPULAUAN RIAU,10.37
DKI JAKARTA,11.31
JAWA BARAT,8.78
JAWA TENGAH,7.93
DI YOGYAKARTA,9.75
JAWA TIMUR,8.03
BANTEN,9.13
BALI,9.39
NUSA TENGGARA BARAT,7.61
NUSA TENGGARA TIMUR,7.7
KALIMANTAN BARAT,7.59
KALIMANTAN TENGAH,8.65
KALIMANTAN SELATAN,8.46
KALIMANTAN TIMUR,9.92
KALIMANTAN UTARA,9.27
SULAWESI UTARA,9.68
SULAWESI TENGAH,8.89
SULAWESI SELATAN,8.63
SULAWESI TENGGARA,9.25
GORONTALO,8.02
SULAWESI BARAT,8.08
MALUKU,10.19
MALUKU UTARA,9.24
PAPUA BARAT,7.84
PAPUA,7.02
